epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1474.4,0.51147,0.47644,0.97209,0.98296,0.9758,0.99314,0.96403,0.26876,0.20962,0.8205,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1520.05,0.50319,0.46245,0.96515,0.97959,0.97833,0.99289,0.96286,0.27452,0.2105,0.82351,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1565.66,0.49679,0.45714,0.96303,0.98119,0.96309,0.99124,0.9633,0.26765,0.22839,0.82102,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1611.05,0.49864,0.46044,0.96334,0.98922,0.98236,0.99328,0.96525,0.2698,0.1958,0.82271,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1656.49,0.49823,0.45795,0.9644,0.98901,0.97931,0.99339,0.9664,0.26396,0.19699,0.81864,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1701.96,0.48631,0.43607,0.95821,0.98404,0.97877,0.99179,0.96552,0.25993,0.20605,0.81573,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1747.4,0.48773,0.44054,0.95794,0.98585,0.97848,0.99361,0.96777,0.26164,0.19943,0.81683,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1792.96,0.49071,0.44052,0.96133,0.98877,0.98577,0.99389,0.96912,0.25793,0.18902,0.81516,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1838.47,0.48302,0.43678,0.96196,0.98775,0.98092,0.99399,0.97055,0.25601,0.18737,0.81425,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1884.4,0.48414,0.43741,0.9603,0.98816,0.98447,0.99352,0.96964,0.25703,0.18797,0.81244,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1930.18,0.47832,0.42393,0.95779,0.98833,0.9863,0.99445,0.97197,0.25178,0.18446,0.81065,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1975.88,0.47622,0.42587,0.95764,0.9946,0.98671,0.99467,0.97316,0.24769,0.17285,0.8098,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2021.6,0.47201,0.42147,0.95588,0.98966,0.98338,0.99403,0.97029,0.25609,0.18125,0.81616,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2067.08,0.47341,0.41494,0.95338,0.99024,0.98378,0.99435,0.97139,0.25172,0.1805,0.81312,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2112.36,0.46468,0.40559,0.95358,0.98608,0.98242,0.99374,0.9728,0.24589,0.1816,0.81229,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2157.6,0.46215,0.40417,0.94875,0.99101,0.98541,0.99349,0.97317,0.24194,0.16989,0.80813,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2203.29,0.46122,0.40247,0.95315,0.99026,0.98366,0.99411,0.97482,0.24137,0.17395,0.80719,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2248.59,0.46461,0.40168,0.95261,0.98953,0.98612,0.99462,0.97586,0.24039,0.1702,0.8064,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2294.05,0.46091,0.39868,0.94928,0.99508,0.98974,0.99484,0.97416,0.24178,0.16174,0.80991,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2339.22,0.45404,0.39439,0.94829,0.99155,0.98942,0.99437,0.97396,0.24082,0.16458,0.81023,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2384.67,0.45003,0.38204,0.94393,0.99443,0.98615,0.99471,0.97551,0.23672,0.16155,0.80528,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2430.39,0.4587,0.39011,0.94906,0.99466,0.9882,0.99458,0.97701,0.23363,0.15994,0.80467,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2476.31,0.45163,0.38338,0.94555,0.99279,0.9887,0.99442,0.97499,0.23514,0.16036,0.80582,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2521.95,0.44491,0.37443,0.94065,0.99104,0.9906,0.99467,0.97585,0.23385,0.16132,0.80393,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2568.23,0.44786,0.37732,0.94749,0.99104,0.98741,0.99456,0.97659,0.23201,0.15762,0.80354,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2613.78,0.44165,0.37159,0.93794,0.99358,0.98664,0.99472,0.97669,0.23147,0.15663,0.80392,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2658.97,0.44606,0.37539,0.94458,0.99559,0.98693,0.99474,0.97777,0.22992,0.15298,0.80239,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2704.24,0.43905,0.36813,0.94145,0.9918,0.9897,0.99478,0.97831,0.22856,0.15497,0.80271,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2749.78,0.43363,0.36771,0.93732,0.99502,0.98747,0.99488,0.97931,0.22744,0.15168,0.80056,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2795.69,0.43385,0.36899,0.94083,0.99368,0.98687,0.99476,0.97889,0.22869,0.15363,0.80245,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2840.9,0.43154,0.36276,0.93872,0.99583,0.98739,0.9948,0.97832,0.22656,0.15137,0.80126,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2886.52,0.43565,0.35633,0.94168,0.99011,0.99184,0.99478,0.97822,0.22576,0.1504,0.80107,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2932.22,0.43157,0.35434,0.93744,0.99154,0.99353,0.99483,0.97955,0.22518,0.14884,0.80067,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2977.97,0.43048,0.35757,0.93879,0.99406,0.98836,0.99472,0.98005,0.22334,0.14786,0.79836,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3023.98,0.42442,0.35064,0.93665,0.99204,0.98789,0.99478,0.98005,0.22174,0.14861,0.79809,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3069.43,0.42828,0.35184,0.9379,0.99362,0.9893,0.99477,0.97885,0.22231,0.14578,0.79822,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3115.31,0.42222,0.33781,0.93223,0.99196,0.99121,0.99481,0.97928,0.22189,0.14553,0.79777,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3161.01,0.41996,0.34099,0.93335,0.99012,0.99128,0.99476,0.97959,0.22217,0.14804,0.79791,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3206.53,0.41203,0.33311,0.93089,0.99105,0.99124,0.99472,0.97872,0.22004,0.14614,0.79777,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3251.87,0.41904,0.33954,0.93792,0.99594,0.98821,0.99459,0.97907,0.22077,0.14523,0.79753,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3297.13,0.41159,0.32756,0.93125,0.99631,0.9883,0.99474,0.98103,0.21835,0.14282,0.79637,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3342.6,0.41756,0.33452,0.93221,0.99258,0.99054,0.99477,0.9808,0.21644,0.14253,0.79617,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3387.82,0.409,0.3252,0.93034,0.99397,0.99134,0.99474,0.98092,0.21743,0.141,0.79698,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3432.95,0.40637,0.32818,0.92969,0.99453,0.98973,0.99472,0.98138,0.21622,0.14034,0.79665,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3478.73,0.40583,0.3269,0.9285,0.9937,0.99145,0.99453,0.98133,0.21613,0.14047,0.79724,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3523.75,0.40902,0.32179,0.92791,0.99332,0.99073,0.99458,0.98098,0.21566,0.1405,0.79629,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3569.45,0.40259,0.31901,0.927,0.99322,0.99035,0.99437,0.98082,0.21515,0.13981,0.7961,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3614.93,0.40237,0.3183,0.92609,0.99257,0.99246,0.99464,0.98125,0.2156,0.13819,0.79611,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3661.07,0.39857,0.3109,0.92737,0.99517,0.99163,0.99461,0.98097,0.21539,0.13808,0.79575,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3706.63,0.39508,0.3105,0.92434,0.99365,0.99222,0.99477,0.98166,0.21384,0.13572,0.79525,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3752.38,0.39698,0.30902,0.92687,0.99256,0.99187,0.99471,0.98102,0.2133,0.13617,0.79557,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3797.96,0.39457,0.3066,0.92601,0.9952,0.98906,0.99463,0.98102,0.21249,0.13596,0.79504,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3843.45,0.38893,0.30314,0.92224,0.99295,0.99264,0.99481,0.98171,0.21298,0.13656,0.79498,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3889.22,0.39102,0.30097,0.92296,0.99381,0.99178,0.99482,0.9815,0.21228,0.13552,0.79405,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3934.5,0.38879,0.30014,0.92249,0.99385,0.99169,0.99482,0.98211,0.21203,0.13467,0.79411,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3979.55,0.38448,0.29518,0.92023,0.99397,0.99198,0.9948,0.98214,0.21152,0.13368,0.794,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4025.31,0.38219,0.29648,0.91983,0.99372,0.99276,0.99481,0.98196,0.21079,0.13282,0.79382,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4070.8,0.38094,0.29479,0.922,0.995,0.99197,0.99481,0.98175,0.21069,0.13225,0.79359,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4115.91,0.37906,0.29027,0.91855,0.9953,0.9917,0.99482,0.98192,0.21134,0.13204,0.79363,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4163.08,0.2246,0.15365,0.80683,0.99637,0.9914,0.9948,0.98174,0.21061,0.13074,0.79326,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4209.34,0.22041,0.14933,0.80267,0.99498,0.99131,0.99472,0.98216,0.21078,0.13066,0.79352,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4255.05,0.21677,0.14541,0.80519,0.99711,0.9889,0.99471,0.98242,0.21053,0.13073,0.79355,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4300.51,0.21461,0.1413,0.80311,0.99605,0.98955,0.99466,0.9824,0.21035,0.1297,0.79337,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4346.01,0.21275,0.13835,0.80294,0.99619,0.98975,0.99464,0.98234,0.20973,0.12854,0.79313,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4390.99,0.21121,0.13642,0.80165,0.99646,0.99008,0.9947,0.9827,0.2094,0.12846,0.79295,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4436.29,0.20834,0.13495,0.80207,0.99583,0.99032,0.99471,0.98275,0.20938,0.12863,0.79296,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4481.21,0.20539,0.13418,0.80026,0.9971,0.98942,0.99472,0.98299,0.20938,0.12873,0.79306,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4525.98,0.20308,0.12992,0.79962,0.99634,0.99035,0.9947,0.98273,0.20919,0.12851,0.79294,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4571.2,0.20201,0.12895,0.79912,0.9961,0.98978,0.99473,0.98287,0.20906,0.12862,0.79286,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
